RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2023-01-04;A1EG34;BRA1EGBDR002;A1EG;2;27,5;1;55
2023-01-04;A1ES34;BRA1ESBDR007;A1ES;2;148,91;1;297,82
2023-01-04;A1IV34;BRA1IVBDR002;A1IV;1;38,65;1;38,65
2023-01-04;A1MD34;BRA1MDBDR002;A1MD;2674;42,206608;1;112860,47
2023-01-04;A1RE34;BRA1REBDR009;A1RE;63;191,5712698;1;12068,99
2023-01-04;A1UT34;BRA1UTBDR001;A1UT;146;246,3255479;1;35963,53
2023-01-04;A1ZN34;BRA1ZNBDR003;A1ZN;1;62,13;1;62,13
2023-01-04;A2RW34;BRA2RWBDR009;A2RW;395;37,97;1;14998,15
2023-01-04;A2SO34;BRA2SOBDR004;A2SO;1;72,01;1;72,01
2023-01-04;AALR3;BRAALRACNOR6;AALR;1254992;20,7744859;1;26071813,62
2023-01-04;AAPL34;BRAAPLBDR004;AAPL;1400737;35,084952;1;49144790,54
2023-01-04;ABBV34;BRABBVBDR001;ABBV;75;53,91;1;4043,25
2023-01-04;ABCB4;BRABCBACNPR4;ABCB;1232359;19,0999465;1;23537991,07
2023-01-04;ABEV3;BRABEVACNOR1;ABEV;300751168;14,9226053;1;4487990982,24
2023-01-04;ABTT34;BRABTTBDR007;ABTT;63;47,8982539;1;3017,59
2023-01-04;ACWI11;BRACWICTF001;ACWI;484936;9,1874762;1;4455337,99
2023-01-04;ADBE34;BRADBEBDR003;ADBE;307;37,2139739;1;11424,69
2023-01-04;AERI3;BRAERIACNOR4;AERI;11368370;1,1279436;1;12822881,02
2023-01-04;AESB3;BRAESBACNOR7;AESB;25982026;9,5802935;1;248915437,07
2023-01-04;AGRI11;BRAGRICTF002;AGRI;212;45,5;1;9646
2023-01-04;AGRO3;BRAGROACNOR7;AGRO;3041399;27,787213;1;84512002,08
2023-01-04;AGXY3;BRAGXYACNOR4;AGXY;311186;8,8420255;1;2751514,56
2023-01-04;AIRB34;BRAIRBBDR004;AIRB;208962;23,8620638;1;4986264,58
2023-01-04;ALLD3;BRALLDACNOR3;ALLD;77157;6,1097328;1;471408,66
2023-01-04;ALPA3;BRALPAACNOR0;ALPA;359;11,8308913;1;4247,29
2023-01-04;ALPA4;BRALPAACNPR7;ALPA;16389484;14,4796817;1;237314512,9
2023-01-04;ALPK3;BRALPKACNOR9;ALPK;62845;1,6097384;1;101164,01
2023-01-04;ALSO3;BRALSOACNOR5;ALSO;26572709;16,5291422;1;439224087,72
2023-01-04;ALUG11;BRALUGCTF000;ALUG;58301;34,5009137;1;2011437,77
2023-01-04;ALUP11;BRALUPCDAM15;ALUP;2735306;26,9040803;1;73590892,36
2023-01-04;ALUP3;BRALUPACNOR8;ALUP;1569;9,1018164;1;14280,75
2023-01-04;ALUP4;BRALUPACNPR5;ALUP;3886;9,21316;1;35802,34
2023-01-04;ALZR11;BRALZRCTF006;ALZR;1448;112,5234185;1;162933,91
2023-01-04;AMAR3;BRAMARACNOR4;AMAR;21950016;1,2746834;1;27979321,95
2023-01-04;AMBP3;BRAMBPACNOR6;AMBP;1994321;20,6731334;1;41228864,16
2023-01-04;AMER3;BRAMERACNOR6;AMER;70248358;8,9219814;1;626754545,26
2023-01-04;AMZO34;BRAMZOBDR002;AMZO;1539619;22,7247207;1;34987411,76
2023-01-04;ANIM3;BRANIMACNOR6;ANIM;7260381;4,0463813;1;29378270,13
2023-01-04;APER3;BRAPERACNOR9;APER;97361;26,8361009;1;2612789,62
2023-01-04;ARML3;BRARMLACNOR1;ARML;5598025;11,2548213;1;63004771,34
2023-01-04;ARZZ3;BRARZZACNOR3;ARZZ;4807625;77,9272305;1;374644901,84
2023-01-04;ASAI3;BRASAIACNOR0;ASAI;81013056;19,3195997;1;1565139819,27
2023-01-04;ASIA11;BRASIACTF011;ASIA;55;7,6405454;1;420,23
2023-01-04;ATMP3;BRATMPACNOR8;ATMP;2851;1,1414275;1;3254,21
